Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PG/SG,Cam Reddish (13772808),Cam Reddish,13772808,PG/SG/G/UTIL,3700,ATL@LAC 11/16/2019 10:30PM ET,ATL,14.86
SF/PF,Doug McDermott (13772788),Doug McDermott,13772788,SF/PF/F/UTIL,3700,MIL@IND 11/16/2019 07:00PM ET,IND,16
PG,T.J. McConnell (13772800),T.J. McConnell,13772800,PG/G/UTIL,3700,MIL@IND 11/16/2019 07:00PM ET,IND,17.90
SG/SF,Pat Connaughton (13772803),Pat Connaughton,13772803,SG/SF/F/G/UTIL,3700,MIL@IND 11/16/2019 07:00PM ET,MIL,13.47
PG/SG,Jalen Brunson (13772792),Jalen Brunson,13772792,PG/SG/G/UTIL,3700,TOR@DAL 11/16/2019 08:30PM ET,DAL,17.82
SG/SF,Eric Gordon (13772816),Eric Gordon,13772816,SG/SF/F/G/UTIL,3600,HOU@MIN 11/16/2019 08:00PM ET,HOU,16.47
SG/SF,Landry Shamet (13772827),Landry Shamet,13772827,SG/SF/F/G/UTIL,3600,ATL@LAC 11/16/2019 10:30PM ET,LAC,14.98
C,Jahlil Okafor (13772825),Jahlil Okafor,13772825,C/UTIL,3600,NO@MIA 11/16/2019 08:00PM ET,NO,20.28
PG/SG,Patty Mills (13772821),Patty Mills,13772821,PG/SG/G/UTIL,3600,POR@SA 11/16/2019 08:30PM ET,SA,18.65
PG/SG,Delon Wright (13772812),Delon Wright,13772812,PG/SG/G/UTIL,3600,TOR@DAL 11/16/2019 08:30PM ET,DAL,20.27
SG/SF,Treveon Graham (13772859),Treveon Graham,13772859,SG/SF/F/G/UTIL,3500,HOU@MIN 11/16/2019 08:00PM ET,MIN,16.06
SG/SF,Rodney McGruder (13772832),Rodney McGruder,13772832,SG/SF/F/G/UTIL,3500,ATL@LAC 11/16/2019 10:30PM ET,LAC,6.94
